Paso;Lectura
0;691
1;711
2;694
3;689
4;689
5;689
6;689
7;689
8;690
9;690
10;689
11;690
12;691
13;689
14;690
15;691
16;690
17;691
18;689
19;690
20;691
21;691
22;692
23;691
24;691
25;692
26;692
27;691
28;692
29;692
30;695
31;696
32;694
33;692
34;690
35;691
36;691
37;693
38;692
39;692
40;693
41;692
42;692
43;692
44;693
45;692
46;693
47;693
48;693
49;693
50;693
51;694
52;694
53;695
54;695
55;696
56;696
57;697
58;696
59;697
60;698
61;698
62;699
63;698
64;699
65;699
66;700
67;702
68;701
69;702
70;703
71;704
72;704
73;704
74;707
75;711
76;715
77;717
78;724
79;726
80;733
81;741
82;744
83;752
84;758
85;768
86;788
87;808
88;832
89;868
90;962
91;999
92;1009
93;1007
94;1011
95;897
96;839
97;819
98;805
99;787
100;779
101;758
102;740
103;731
104;728
105;723
106;720
107;716
108;714
109;713
110;713
111;710
112;710
113;708
114;707
115;705
116;703
117;702
118;701
119;697
120;696
121;696
122;695
123;695
124;695
125;694
126;693
127;693
128;693
129;692
130;692
131;691
132;692
133;692
134;691
135;692
136;691
137;691
138;690
139;690
140;690
141;691
142;690
143;690
144;691
145;692
146;692
147;692
148;693
149;694
150;692
151;690
152;689
153;689
154;689
155;688
156;688
157;687
158;688
159;688
160;688
161;688
162;688
163;689
164;690
165;688
166;688
167;688
168;687
169;688
170;687
171;687
172;687
173;687
174;687
175;687
176;688
177;686
178;687
179;687
180;687
179;687
178;687
177;686
176;686
175;687
174;687
173;686
172;686
171;687
170;687
169;687
168;686
167;688
166;687
165;687
164;686
163;686
162;687
161;688
160;687
159;688
158;689
157;689
156;689
155;688
154;688
153;689
152;689
151;689
150;689
149;689
148;689
147;689
146;689
145;690
144;690
143;693
142;694
141;694
140;691
139;691
138;691
137;691
136;691
135;690
134;691
133;690
132;691
131;692
130;692
129;692
128;693
127;694
126;694
125;694
124;695
123;695
122;696
121;695
120;696
119;697
118;697
117;697
116;698
115;698
114;698
113;701
112;705
111;704
110;705
109;707
108;708
107;709
106;711
105;711
104;717
103;716
102;719
101;719
100;725
99;728
98;734
97;742
96;758
95;770
94;772
93;791
92;803
91;835
90;915
89;1002
88;1011
87;1008
86;1006
85;980
84;851
83;815
82;794
81;780
80;770
79;754
78;748
77;736
76;729
75;725
74;722
73;716
