Paso;Lectura
0;74
1;75
2;131
3;117
4;121
5;171
6;1006
7;666
8;402
9;267
10;204
11;145
12;116
13;165
14;84
15;78
16;75
17;71
18;68
19;67
20;64
21;63
22;64
23;66
24;71
25;71
26;72
27;73
28;73
29;69
30;68
31;72
32;80
33;90
34;83
35;73
36;68
37;64
38;60
39;60
40;60
41;61
42;60
43;62
44;62
45;62
46;61
47;62
48;64
49;66
50;67
51;69
52;72
53;71
54;75
55;76
56;76
57;78
58;83
59;90
60;96
61;103
62;108
63;110
64;112
65;115
66;119
67;123
68;131
69;134
70;145
71;151
72;151
73;152
74;160
75;173
76;179
77;177
78;185
79;207
80;238
81;266
82;289
83;307
84;338
85;386
86;384
87;431
88;487
89;612
90;666
91;711
92;779
93;859
94;999
95;1014
96;1006
97;954
98;841
99;813
100;770
101;679
102;602
103;538
104;489
105;447
106;417
107;388
108;348
109;318
110;302
111;287
112;279
113;262
114;244
115;237
116;224
117;211
118;204
119;215
120;224
121;210
122;204
123;185
124;176
125;159
126;150
127;147
128;144
129;197
130;132
131;131
132;128
133;122
134;115
135;108
136;102
137;98
138;93
139;92
140;91
141;152
142;83
143;82
144;82
145;152
146;86
147;86
148;89
149;87
150;88
151;96
152;106
153;103
154;94
155;87
156;84
157;80
158;77
159;76
160;77
161;75
162;74
163;74
164;74
165;74
166;76
167;78
168;73
169;69
170;66
171;65
172;65
173;65
174;63
175;64
176;63
177;62
178;60
179;60
180;59
179;60
178;59
177;59
176;59
175;58
174;57
173;56
172;56
171;124
170;56
169;58
168;60
167;60
166;61
165;61
164;60
163;60
162;60
161;61
160;66
159;137
158;70
157;70
156;68
155;68
154;67
153;68
152;70
151;69
150;71
149;71
148;71
147;74
146;89
145;100
144;100
143;94
142;86
141;83
140;83
139;81
138;81
137;80
136;80
135;147
134;80
133;83
132;87
131;88
130;91
129;93
128;94
127;161
126;98
125;101
124;104
123;167
122;109
121;116
120;121
119;186
118;123
117;133
116;143
115;159
114;173
113;187
112;190
111;183
110;186
109;188
108;199
107;199
106;223
105;228
104;243
103;257
102;274
101;296
100;319
99;337
98;366
97;436
96;515
95;601
94;665
93;698
92;774
91;990
90;1006
89;1013
88;1010
87;988
86;896
85;827
84;734
83;597
82;522
81;487
80;465
79;423
78;418
77;398
76;366
75;321
74;293
73;272
72;259
71;236
70;220
69;216
68;200
67;185
66;184
65;182
64;178
63;165
62;161
61;157
60;153
59;147
58;144
57;140
56;134
55;127
54;123
53;121
52;117
51;110
50;107
49;103
48;100
47;96
46;92
45;92
44;90
43;86
42;85
41;83
40;82
39;78
38;79
37;76
36;74
35;72
34;72
33;69
32;68
31;67
30;66
29;67
28;68
27;80
26;92
25;96
24;94
23;145
22;71
21;74
20;77
19;140
18;77
17;79
16;77
15;72
14;67
13;64
12;64
11;62
10;64
9;63
8;62
7;60
6;60
5;59
4;58
3;55
2;56
1;53
0;52
1;50
2;49
3;47
4;46
5;45
6;46
7;45
8;45
9;45
10;47
11;48
12;50
13;51
14;51
15;51
16;52
17;51
18;51
19;52
20;52
21;54
22;56
23;59
24;62
25;64
26;64
27;66
28;64
29;63
30;67
31;71
32;86
33;87
34;81
35;78
36;68
37;64
38;62
39;61
40;61
41;61
42;61
43;61
44;61
45;62
46;63
47;65
48;65
49;67
50;70
51;70
52;73
53;73
54;77
55;76
56;79
57;81
58;84
59;88
60;94
61;99
62;105
63;108
64;111
65;116
66;118
67;123
68;128
69;138
70;146
71;148
72;147
73;150
74;159
75;174
76;176
77;173
78;183
79;204
80;235
81;260
82;287
83;319
84;345
85;365
86;398
87;423
88;483
89;595
90;646
91;692
92;751
93;933
94;1009
95;1013
96;1006
97;909
98;797
99;768
100;732
101;667
102;587
103;521
104;483
105;481
106;410
107;384
108;344
109;307
110;298
111;284
112;272
113;312
114;238
115;230
116;216
117;204
118;210
119;215
120;216
121;201
122;180
123;169
124;166
125;152
126;148
127;145
128;139
129;132
130;131
131;127
132;125
133;119
134;116
135;113
136;109
137;106
138;103
139;103
140;101
141;163
142;94
143;92
144;90
145;88
146;88
147;88
148;89
149;156
150;90
151;97
152;108
153;104
154;97
155;89
156;83
157;79
158;76
159;76
160;76
161;75
162;74
163;75
164;73
165;138
166;75
167;76
168;75
169;69
170;66
171;65
172;63
173;133
174;62
175;62
176;60
177;59
178;59
179;58
180;58
179;57
178;58
177;58
176;57
175;57
174;56
173;56
172;55
171;56
170;57
169;57
168;58
167;127
166;59
165;59
164;58
163;59
162;59
161;59
160;62
159;136
158;69
157;69
156;67
155;134
154;67
153;67
152;67
151;137
150;69
149;69
148;70
147;140
146;89
145;98
144;101
143;94
142;87
141;84
140;83
139;82
138;81
137;82
136;81
135;144
134;75
133;79
132;82
131;148
130;86
129;87
128;89
127;158
126;93
125;98
124;100
123;169
122;102
121;109
120;117
119;120
118;119
117;125
116;136
115;211
114;170
113;182
112;181
111;177
110;176
109;175
108;181
107;240
106;196
105;213
104;220
103;288
102;275
101;291
100;311
99;347
98;396
97;426
96;486
95;532
94;653
93;728
92;788
91;921
90;1009
89;1011
88;1008
87;995
86;967
85;832
84;732
83;627
82;519
81;479
80;453
79;422
78;412
77;390
76;359
75;311
74;289
73;266
72;247
71;225
70;211
69;200
68;191
67;174
66;172
65;167
64;162
63;150
62;146
61;139
60;136
59;129
58;124
57;120
56;116
55;108
54;103
53;98
52;97
51;91
50;87
49;83
48;79
47;75
46;73
45;71
44;69
43;66
42;64
41;62
40;61
39;58
38;56
37;55
36;52
35;51
34;50
33;48
32;48
31;48
30;48
29;47
28;50
27;58
26;74
25;75
24;70
23;133
22;56
21;52
20;55
19;55
18;57
17;57
16;55
15;51
14;46
13;44
12;41
11;42
10;40
9;40
8;40
7;107
6;37
5;37
4;35
3;36
2;33
1;31
0;29
1;31
2;30
3;28
4;30
5;28
6;28
7;28
8;28
9;96
10;29
11;28
12;29
13;32
14;32
15;32
16;33
17;100
18;32
19;33
20;34
21;36
22;39
23;40
24;44
25;45
26;44
27;47
28;48
29;117
30;45
31;48
32;57
33;131
34;61
35;51
36;47
37;44
38;44
39;43
40;44
41;46
42;42
43;42
44;44
45;44
46;44
47;47
48;48
49;49
50;50
51;53
52;54
53;55
54;57
55;59
56;60
57;62
58;67
59;74
60;80
61;151
62;87
63;90
64;94
65;98
66;99
67;105
68;111
69;124
70;129
71;131
72;132
73;132
74;144
75;156
76;159
77;219
78;164
79;187
80;219
81;287
82;245
83;283
84;333
85;364
86;400
87;428
88;462
89;536
90;573
91;654
92;784
93;956
94;1001
95;1012
96;1007
97;975
98;844
99;803
100;748
101;661
102;577
103;517
104;485
105;481
106;406
107;370
108;333
109;301
110;283
111;269
112;262
113;306
114;224
115;220
116;205
117;252
118;188
119;200
120;201
121;176
122;158
123;155
124;146
125;132
126;128
127;125
128;119
129;178
130;109
131;105
132;104
133;164
134;96
135;93
136;89
137;151
138;83
139;83
140;81
141;145
142;72
143;72
144;69
145;136
146;67
147;67
148;67
149;136
150;69
151;79
152;86
153;78
154;70
155;63
156;60
157;56
158;55
159;52
160;51
161;51
162;50
163;49
164;49
165;122
166;52
167;52
168;48
169;116
170;42
171;40
172;39
173;113
174;38
175;38
176;37
177;35
178;34
179;33
180;33
179;106
178;31
177;32
176;31
175;30
174;30
173;31
172;30
171;98
170;30
169;30
168;32
167;103
166;34
165;35
164;33
163;104
162;34
161;34
160;36
159;113
158;44
157;44
156;42
155;111
154;41
153;41
152;42
151;113
150;42
149;42
148;43
147;115
146;58
145;69
144;71
143;141
142;66
141;60
140;59
139;125
138;56
137;55
136;55
135;124
134;55
133;57
132;60
131;132
130;64
129;64
128;67
127;138
126;68
125;73
124;76
123;146
122;85
121;92
120;94
119;159
118;101
117;115
116;116
115;194
114;147
113;164
112;165
111;220
110;158
109;158
108;171
107;234
106;197
105;205
104;215
103;286
102;243
101;272
100;300
99;378
98;374
97;413
96;480
95;566
94;639
93;726
92;783
91;954
90;1008
89;1013
88;1006
87;948
86;894
85;830
84;732
83;628
82;516
81;479
80;455
79;421
78;407
77;384
76;356
75;364
74;286
73;267
72;246
71;277
70;202
69;193
68;179
67;167
66;161
65;159
64;157
63;144
62;142
61;135
60;131
59;126
58;121
57;116
56;113
55;170
54;103
53;97
52;95
51;152
50;85
49;81
48;78
47;74
46;71
45;68
44;65
43;65
42;60
41;59
40;58
39;54
38;54
37;52
36;51
35;49
34;48
33;47
32;46
31;45
30;45
29;46
28;47
27;124
26;71
25;74
24;67
23;125
22;53
21;55
20;56
19;55
18;56
17;56
16;54
15;120
14;47
13;42
12;40
11;39
10;39
9;39
8;38
7;106
6;36
5;35
4;33
3;33
2;31
1;31
0;30
1;99
2;29
3;28
4;27
5;27
6;26
7;27
8;27
9;97
10;26
11;27
12;29
13;100
14;31
15;33
16;33
17;103
18;31
19;32
20;33
21;34
22;37
23;40
24;44
25;45
26;46
27;48
28;46
29;44
30;46
31;50
32;63
33;65
34;60
35;54
36;48
37;46
38;44
39;43
40;43
41;42
42;44
43;43
44;44
45;113
46;45
47;47
48;48
49;50
50;49
51;50
52;53
53;55
54;60
55;59
56;58
57;131
58;68
59;72
60;76
61;150
62;83
63;87
64;92
65;162
66;105
67;107
68;110
69;119
70;125
71;128
72;129
73;131
74;136
75;145
76;156
77;223
78;181
79;197
80;215
81;286
82;256
83;299
84;327
85;387
86;368
87;421
88;473
89;582
90;615
91;682
92;768
93;869
94;1008
95;1014
96;1007
97;908
98;816
99;785
100;736
101;663
102;572
103;515
104;472
105;467
106;387
107;362
108;327
109;297
110;279
111;265
112;255
113;301
114;221
115;214
116;208
117;254
118;183
119;198
120;198
121;176
122;160
123;152
124;145
125;200
126;127
127;126
128;119
129;179
130;108
131;105
132;105
133;168
134;97
135;94
136;90
137;154
138;84
139;81
140;78
141;145
142;71
143;70
144;68
145;139
146;67
147;68
148;68
149;137
150;64
151;76
152;85
153;152
154;72
155;66
156;61
157;134
158;55
159;54
160;52
161;123
162;52
163;51
164;52
165;123
166;55
167;52
168;48
169;114
170;43
171;42
172;41
173;110
174;39
175;41
176;40
177;39
178;37
179;37
180;36
179;88
178;35
177;34
176;35
175;91
174;34
173;33
172;33
171;91
170;31
169;33
168;35
167;98
166;35
165;36
164;37
163;105
162;37
161;37
160;39
159;114
158;45
157;45
156;45
155;113
154;44
153;46
152;45
151;119
150;46
149;46
148;46
147;114
146;59
145;69
144;74
143;142
142;65
141;61
140;61
139;131
138;58
137;58
136;59
